norm_iri;content;content_clean
dio~di101-0135~1;"<sco>
<sec>

<par>
<lno>∙ 1 ∙ 4 ∙ // ∙ 9 ∙ 4 ∙</lno>
</par>
</sec>
</sco>";∙ 1 ∙ 4 ∙ // ∙ 9 ∙ 4 ∙
dio~di101-0136~1;"<sco>
<sec>

<par>
<lno>1494</lno>
</par>
</sec>
</sco>";1494
dio~di101-0137~1;"<sco>
    <sec>
      <par>
        <lno>Ḥie · ligt · dy · Edl · vnd · veṣ[t ·] / f̣raw · Barbara · wilhal[m]<appalpha id=""footnotes-appalpha-dio-di101-0137-a"">a)</appalpha> / von · Nustarff · Gemachl<appalpha id=""footnotes-appalpha-dio-di101-0137-b"">b)</appalpha> / ḅegrab(e)n · got · well · ir · gen[e]/ḍig · vnd · p[ar]mherczig<appalpha id=""footnotes-appalpha-dio-di101-0137-c"">c)</appalpha> · Sein · dy · ist · gestorb(e)n · An · / freitag · nach · San[ct] Elisa/beth tag Anno d(omi)nj M<appalpha id=""footnotes-appalpha-dio-di101-0137-o"">o</appalpha> · cccc<appalpha id=""footnotes-appalpha-dio-di101-0137-o"">o</appalpha> · lx/xxxv</lno>
      </par>
    </sec>
  </sco>";Ḥie · ligt · dy · Edl · vnd · veṣ[t ·] / f̣raw · Barbara · wilhal[m]a) / von · Nustarff · Gemachlb) / ḅegrab(e)n · got · well · ir · gen[e]/ḍig · vnd · p[ar]mherczigc) · Sein · dy · ist · gestorb(e)n · An · / freitag · nach · San[ct] Elisa/beth tag Anno d(omi)nj Mo · cccco · lx/xxxv
dio~di101-0138~1;"<sco>
<sec>

<par>
<lno>Anno ∙ d(omi)ni ∙ 1 · 4 · 9 · 5 ∙ / Obyt ∙ c(on)f(rate)r ∙ cristofor(us) ∙ / p(ro)fess(us) ∙ i(n) saluatore ∙ ple/ban(us) ∙ i(n) vttlau ∙ h(ic) sepult(us)</lno>
</par>
</sec>
</sco>";Anno ∙ d(omi)ni ∙ 1 · 4 · 9 · 5 ∙ / Obyt ∙ c(on)f(rate)r ∙ cristofor(us) ∙ / p(ro)fess(us) ∙ i(n) saluatore ∙ ple/ban(us) ∙ i(n) vttlau ∙ h(ic) sepult(us)
dio~di101-0139~1;"<sco>
    <sec>
      <par>
        <lno>Anno do(mi)ni M<appalpha id=""footnotes-appalpha-dio-di101-0139-o"">o</appalpha> cccc<appalpha id=""footnotes-appalpha-dio-di101-0139-o"">o</appalpha> ∙ &lt;96 18 ∙ MAII<appalpha id=""footnotes-appalpha-dio-di101-0139-a"">a)</appalpha>&gt; ∙ obijt + / Honorabil(is) ∙ vir ∙ d(omi)n(u)s ∙ Conradus Trandler pastor hui(us) / eccl(esi)e rectorq(ue) capelle s(anc)torum + / Symo(n)is et Jude in Scherding c(uius) a(n)i(m)a requiescat in pace </lno>
      </par>
    </sec>
  </sco>";Anno do(mi)ni Mo cccco ∙ <96 18 ∙ MAIIa)> ∙ obijt + / Honorabil(is) ∙ vir ∙ d(omi)n(u)s ∙ Conradus Trandler pastor hui(us) / eccl(esi)e rectorq(ue) capelle s(anc)torum + / Symo(n)is et Jude in Scherding c(uius) a(n)i(m)a requiescat in pace
dio~di101-0140~1;"<sco>
    <sec>
      <par>
        <lno>[Anno ∙ d](omi)ni ∙ [M] ∙ cccc ∙ [98 / obiit] ∙ Ven(erabi)lis<appalpha id=""footnotes-appalpha-dio-di101-0140-a"">a)</appalpha> ∙ d(omi)n(u)s ∙ [Tha/mas]<appalpha id=""footnotes-appalpha-dio-di101-0140-b"">b)</appalpha> Mitterhofer ∙ [qui / die Scholastica]e ∙ v(ir)g(in)is ∙ Hic ∙ / [sepultus]</lno>
      </par>
    </sec>
  </sco>";[Anno ∙ d](omi)ni ∙ [M] ∙ cccc ∙ [98 / obiit] ∙ Ven(erabi)lisa) ∙ d(omi)n(u)s ∙ [Tha/mas]b) Mitterhofer ∙ [qui / die Scholastica]e ∙ v(ir)g(in)is ∙ Hic ∙ / [sepultus]
dio~di101-0141~1;"<sco>
    <sec>
      <par>
        <lno>Hie ∙ ligt ∙ pebrag=//en<appalpha id=""footnotes-appalpha-dio-di101-0141-a"">a)</appalpha> ∙ der ∙ Edl ∙ Hanns ∙ Ottenperger ∙ <lig>de</lig>r ∙ Elter<appalpha id=""footnotes-appalpha-dio-di101-0141-b"">b)</appalpha> // ∙ der ∙ Gestorbe(n)<appalpha id=""footnotes-appalpha-dio-di101-0141-b"">b)</appalpha> // ∙ ist ∙ &lt;an ∙ freitag ∙ vo(r) ∙ phili<lig>pp</lig>i ∙ an(n)o<appalpha id=""footnotes-appalpha-dio-di101-0141-c"">c)</appalpha> ∙ m ∙ cccc 98&gt;</lno>
      </par>
    </sec>
  </sco>";Hie ∙ ligt ∙ pebrag=//ena) ∙ der ∙ Edl ∙ Hanns ∙ Ottenperger ∙ der ∙ Elterb) // ∙ der ∙ Gestorbe(n)b) // ∙ ist ∙ <an ∙ freitag ∙ vo(r) ∙ philippi ∙ an(n)oc) ∙ m ∙ cccc 98>
dio~di101-0142~1;"<sco>
<sec>

<par>
<lno>1498</lno>
</par>
</sec>
</sco>";1498
dio~di101-0143~1;"<sco>
<sec>

<par>
<lno>1498</lno>
</par>
</sec>
</sco>";1498
dio~di101-0144~1;"<sco>
    <sec>
      <par>
        <lno>Anno ∙ d(omi)nj ∙ M ∙ cccc ∙ lx/xxx 9 obijt ∙ honorabilis ∙ vir ∙ d(omi)n(u)s ∙ geori(us) / Ennser<appalpha id=""footnotes-appalpha-dio-di101-0144-a"">a)</appalpha> ∙ Capella(nus)<appalpha id=""footnotes-appalpha-dio-di101-0144-b"">b)</appalpha> / hui(us) ∙ Capelle ∙ b[(ea)]te ∙ marie ∙ virginis ∙ In ∙ hau/spach<appalpha id=""footnotes-appalpha-dio-di101-0144-c"">c)</appalpha> ∙ hic ∙ se/pult(us) ∙ cui(us) ∙ / a(n)i(m)a ∙ Req(ui)escat / ∙ in ∙ pace Ame(n)</lno>
      </par>
    </sec>
  </sco>";Anno ∙ d(omi)nj ∙ M ∙ cccc ∙ lx/xxx 9 obijt ∙ honorabilis ∙ vir ∙ d(omi)n(u)s ∙ geori(us) / Ennsera) ∙ Capella(nus)b) / hui(us) ∙ Capelle ∙ b[(ea)]te ∙ marie ∙ virginis ∙ In ∙ hau/spachc) ∙ hic ∙ se/pult(us) ∙ cui(us) ∙ / a(n)i(m)a ∙ Req(ui)escat / ∙ in ∙ pace Ame(n)
dio~di101-0145~1;"<sco>
    <sec>
      <par>
        <lno>Hie ligt begraben des Edlen Michaelen Pern<appalpha id=""footnotes-appalpha-dio-di101-0145-a"">a)</appalpha> hausfrau Margaretha Schelnacherin<appalpha id=""footnotes-appalpha-dio-di101-0145-b"">b)</appalpha> starb am Mitwoch in Pfingstfeyrtagen des M CCCCC<appalpha id=""footnotes-appalpha-dio-di101-0145-c"">c)</appalpha> Jar der gott genedig sey Amen</lno>
      </par>
    </sec>
  </sco>";Hie ligt begraben des Edlen Michaelen Perna) hausfrau Margaretha Schelnacherinb) starb am Mitwoch in Pfingstfeyrtagen des M CCCCCc) Jar der gott genedig sey Amen
dio~di101-0146~1;"<sco>
<sec>

<par>
<lno>· hie · ligt · be=/graben · her = / hanns · der · / hirsch · dem · / got · genad ·</lno>
</par>
</sec>
</sco>";· hie · ligt · be=/graben · her = / hanns · der · / hirsch · dem · / got · genad ·
dio~di101-0147~1;"<sco>
<sec>

<par>
<lno>Jorg ∙ schnei<lig>de</lig>r ∙</lno>
</par>
</sec>
</sco>";Jorg ∙ schneider ∙
dio~di101-0148~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>Got ∙ fveg ∙ es ∙ zvṃ<appalpha id=""footnotes-appalpha-dio-di101-0148-a"">a)</appalpha> ∙ pesse(r)n<appalpha id=""footnotes-appalpha-dio-di101-0148-b"">b)</appalpha></lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>M // Ị<appalpha id=""footnotes-appalpha-dio-di101-0148-c"">c)</appalpha></lno>
      </par>
    </sec>
  </sco>";I. Got ∙ fveg ∙ es ∙ zvṃa) ∙ pesse(r)nb) II. M // Ịc)
dio~di101-0149~1;"<sco>
<sec>

<par>
<lno>[---]sar S[te]ffan</lno>
</par>
</sec>
</sco>";[---]sar S[te]ffan
dio~di101-0150~1;"<sco>
<sec>
<snr>I.</snr>
<par>

<lno>trenbach</lno>

</par>
</sec>
<sec>
<snr>II.</snr>
<par>

<lno>ramseidn</lno>
</par>
</sec>
</sco>";I. trenbach II. ramseidn
dio~di101-0151~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>[---]ạṣ ∙ mit ∙ dein ∙ genaden ∙ // ∙ // ∙</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>[Ave Maria grat]ia<appalpha id=""footnotes-appalpha-dio-di101-0151-a"">a)</appalpha> ∙ Plena ∙ D(omi)n(u)s ∙ tecụṃ ∙ [---] // ∙ // [---]<appalpha id=""footnotes-appalpha-dio-di101-0151-b"">b)</appalpha></lno>
      </par>
    </sec>
  </sco>";I. [---]ạṣ ∙ mit ∙ dein ∙ genaden ∙ // ∙ // ∙ II. [Ave Maria grat]iaa) ∙ Plena ∙ D(omi)n(u)s ∙ tecụṃ ∙ [---] // ∙ // [---]b)
dio~di101-0152~1;"<sco>
    <sec>
      <par>
        <lno>+ anno ∙ domini ∙ millesimo ∙ centesimo ∙ lx<appalpha id=""footnotes-appalpha-dio-di101-0152-o"">o</appalpha> ∙ iiij<appalpha id=""footnotes-appalpha-dio-di101-0152-o"">o</appalpha> ∙ / ∙ obijt ∙ fridericus ∙ abbas ∙ aspacensis ∙ ecclesie<appalpha id=""footnotes-appalpha-dio-di101-0152-a"">a)</appalpha></lno>
      </par>
    </sec>
  </sco>";+ anno ∙ domini ∙ millesimo ∙ centesimo ∙ lxo ∙ iiijo ∙ / ∙ obijt ∙ fridericus ∙ abbas ∙ aspacensis ∙ ecclesiea)
dio~di101-0153~1;"<sco>
<sec>

<par>
<lno>+ hie leit begra/ben hermann d(er) / puchfeler von / prawnaw ∙</lno>
</par>
</sec>
</sco>";+ hie leit begra/ben hermann d(er) / puchfeler von / prawnaw ∙
dio~di101-0154~1;"<sco>
    <sec>
      <par>
        <lno>[---] vnd ∙ dorathea ∙ sigenhaimerin ∙ sein ∙ hauṣf̣ṛạẉ ∙ dẹ[(r)] ∙ [---/---] ∙ vnd<appalpha id=""footnotes-appalpha-dio-di101-0154-a"">a)</appalpha> ∙ Margareta ∙ ekkerin ∙ sein ∙ hausfraw ∙ [---]</lno>
      </par>
    </sec>
  </sco>";[---] vnd ∙ dorathea ∙ sigenhaimerin ∙ sein ∙ hauṣf̣ṛạẉ ∙ dẹ[(r)] ∙ [---/---] ∙ vnda) ∙ Margareta ∙ ekkerin ∙ sein ∙ hausfraw ∙ [---]
dio~di101-0155~1;"<sco>
<sec>

<par>
<lno>[--- do]ṃinus ∙ / hainricus ∙ d(i)c(t)us ∙ / Stucze[---]</lno>
</par>
</sec>
</sco>";[--- do]ṃinus ∙ / hainricus ∙ d(i)c(t)us ∙ / Stucze[---]
dio~di101-0156~1;"<sco>
<sec>

<par>
<lno>[---] ∙ [J]ohannẹṣ [---] cap̣ellanus [---]</lno>
</par>
</sec>
</sco>";[---] ∙ [J]ohannẹṣ [---] cap̣ellanus [---]
dio~di101-0157~1;"<sco>
    <sec>
      <par>
        <lno>maria<appalpha id=""footnotes-appalpha-dio-di101-0157-a"">a)</appalpha> ∙ hilf ∙ havs<appalpha id=""footnotes-appalpha-dio-di101-0157-b"">b)</appalpha> ∙ aller<appalpha id=""footnotes-appalpha-dio-di101-0157-c"">c)</appalpha> ∙ not<appalpha id=""footnotes-appalpha-dio-di101-0157-d"">d)</appalpha> ∙ cọnṭẓ ∙ g̣o ∙ ann<appalpha id=""footnotes-appalpha-dio-di101-0157-d"">d)</appalpha></lno>
      </par>
    </sec>
  </sco>";mariaa) ∙ hilf ∙ havsb) ∙ allerc) ∙ notd) ∙ cọnṭẓ ∙ g̣o ∙ annd)
dio~di101-0158~1;"<sco>
    <sec>
      <par>
        <lno>+ o rex ∙ glorie ∙ chr(ist)e<appalpha id=""footnotes-appalpha-dio-di101-0158-a"">a)</appalpha> ∙ veni ∙ cum<appalpha id=""footnotes-appalpha-dio-di101-0158-b"">b)</appalpha> ∙ pace</lno>
      </par>
    </sec>
  </sco>";+ o rex ∙ glorie ∙ chr(ist)ea) ∙ veni ∙ cumb) ∙ pace
dio~di101-0159~1;"<sco>
    <sec>
      <par>
        <lno>vb<appalpha id=""footnotes-appalpha-dio-di101-0159-a"">a)</appalpha> ṇ<appalpha id=""footnotes-appalpha-dio-di101-0159-b"">b)</appalpha> ḳ<appalpha id=""footnotes-appalpha-dio-di101-0159-c"">c)</appalpha> ẹ<appalpha id=""footnotes-appalpha-dio-di101-0159-d"">d)</appalpha> ba<appalpha id=""footnotes-appalpha-dio-di101-0159-e"">e)</appalpha> ẹ<appalpha id=""footnotes-appalpha-dio-di101-0159-d"">d)</appalpha> v</lno>
      </par>
    </sec>
  </sco>";vba) ṇb) ḳc) ẹd) bae) ẹd) v
dio~di101-0160~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>∙ S ∙ greg[o]//rius<appalpha id=""footnotes-appalpha-dio-di101-0160-a"">a)</appalpha> ∙ ora ∙ // pro<appalpha id=""footnotes-appalpha-dio-di101-0160-a"">a)</appalpha> ∙ me ∙</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>S // maria ora // pro nobis<appalpha id=""footnotes-appalpha-dio-di101-0160-a"">a)</appalpha></lno>
      </par>
    </sec>
  </sco>";I. ∙ S ∙ greg[o]//riusa) ∙ ora ∙ // proa) ∙ me ∙ II. S // maria ora // pro nobisa)
dio~di101-0161~1;"<sco>
    <sec>
      <par>
        <lno> i // n r i<appalpha id=""footnotes-appalpha-dio-di101-0161-a"">a)</appalpha> </lno>
      </par>
    </sec>
  </sco>";i // n r ia)
dio~di101-0162~1;"<sco>
    <sec>
      <par>
        <lno>Anno Domini MCCCC<appalpha id=""footnotes-appalpha-dio-di101-0162-a"">a)</appalpha> [---] plebanus in Töttnweis<appalpha id=""footnotes-appalpha-dio-di101-0162-a"">a)</appalpha> [---]</lno>
      </par>
    </sec>
  </sco>";Anno Domini MCCCCa) [---] plebanus in Töttnweisa) [---]
dio~di101-0163~1;"<sco>
<sec>

<par>
<lno>Da ∙ ligt ∙ Chaspar ∙ Tobelhamer ∙ der ∙ gestarben ∙ [---]</lno>
</par>
</sec>
</sco>";Da ∙ ligt ∙ Chaspar ∙ Tobelhamer ∙ der ∙ gestarben ∙ [---]
dio~di101-0164~1;"<sco>
<sec>

<par>
<lno>Hie leit begraben Wernhardt Sulczbeckh vnd sein erben den gott gnad</lno>
</par>
</sec>
</sco>";Hie leit begraben Wernhardt Sulczbeckh vnd sein erben den gott gnad
dio~di101-0165~1;"<sco>
    <sec>
      <par>
        <lno>Hier ∙ ligt ∙ begraben ∙ her ∙ hanns ∙ gartner ∙ capellan ∙ / dem ∙ got ∙ genad<appalpha id=""footnotes-appalpha-dio-di101-0165-a"">a)</appalpha></lno>
      </par>
    </sec>
  </sco>";Hier ∙ ligt ∙ begraben ∙ her ∙ hanns ∙ gartner ∙ capellan ∙ / dem ∙ got ∙ genada)
dio~di101-0166~1;"<sco>
    <sec>
      <par>
        <lno>+ CASPAR ∙ BALTASAR ∙ MELC̣HIOR ∙ S ∙ IOHANNES ∙ Ṭ<appalpha id=""footnotes-appalpha-dio-di101-0166-a"">a)</appalpha> ∙ PAVLVS ∙<appalpha id=""footnotes-appalpha-dio-di101-0166-b"">b)</appalpha> / ∙ S ∙ LAVREṚTII ∙ M(ARTY)R ∙</lno>
      </par>
    </sec>
  </sco>";+ CASPAR ∙ BALTASAR ∙ MELC̣HIOR ∙ S ∙ IOHANNES ∙ Ṭa) ∙ PAVLVS ∙b) / ∙ S ∙ LAVREṚTII ∙ M(ARTY)R ∙
dio~di101-0167~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>Hie leit Chunradt Walxinger<appalpha id=""footnotes-appalpha-dio-di101-0167-a"">a)</appalpha> vnd sein sun dem Gott gnedig sey Amen </lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>Herr erbarm dich vnser</lno>
      </par>
    </sec>
  </sco>";I. Hie leit Chunradt Walxingera) vnd sein sun dem Gott gnedig sey Amen II. Herr erbarm dich vnser
dio~di101-0168~1;"<sco>
    <sec>
      <par>
        <lno>D(ominus) ∙ Paulus ∙ Michaelis / ∙ ex ∙ Lanndaw ∙ o(biit)<appalpha id=""footnotes-appalpha-dio-di101-0168-a"">a)</appalpha> ∙ Anno ∙ d(omini) ∙ m / ∙ ccccc&lt;---&gt; ∙ cuius ∙ a(n)i(m)a ∙ / req(ui)esc ∙ atin<appalpha id=""footnotes-appalpha-dio-di101-0168-b"">b)</appalpha> ∙ req(ui)e ∙ et(er)na ∙ amen ∙</lno>
      </par>
    </sec>
  </sco>";D(ominus) ∙ Paulus ∙ Michaelis / ∙ ex ∙ Lanndaw ∙ o(biit)a) ∙ Anno ∙ d(omini) ∙ m / ∙ ccccc<---> ∙ cuius ∙ a(n)i(m)a ∙ / req(ui)esc ∙ atinb) ∙ req(ui)e ∙ et(er)na ∙ amen ∙
dio~di101-0169~1;"<sco>
    <sec>
      <par>
        <lno>[W]as ∙ das ∙ nit ∙ ein ∙ grose ∙/ ḳlag ∙ </lno>
        <lno>an ∙ vnser ∙ fraven ∙ tag ∙ /</lno>
        <lno>Als ∙ in ∙ himel ∙ baid ∙ enpfanen<appalpha id=""footnotes-appalpha-dio-di101-0169-a"">a)</appalpha> ∙ /</lno>
        <lno>Ist ∙ die ∙ Guss ∙ daher ∙ gangen ∙ / </lno>
        <lno>Als ∙ man ∙ zalt ∙ 1 v <appalpha id=""footnotes-appalpha-dio-di101-0169-o"">o</appalpha> j iar / </lno>
        <lno>Mügt ∙ ir ∙ gelauben ∙ fvr ∙ bar.</lno>
      </par>
    </sec>
  </sco>";[W]as ∙ das ∙ nit ∙ ein ∙ grose ∙/ ḳlag ∙ an ∙ vnser ∙ fraven ∙ tag ∙ / Als ∙ in ∙ himel ∙ baid ∙ enpfanena) ∙ / Ist ∙ die ∙ Guss ∙ daher ∙ gangen ∙ / Als ∙ man ∙ zalt ∙ 1 v o j iar / Mügt ∙ ir ∙ gelauben ∙ fvr ∙ bar.
dio~di101-0170~1;"<sco>
    <sec>
      <par>
        <lno>Anno ∙ d(omi)ni ∙ M ccccc p(ri)mo jdus / vero septembris tercio ∙ obijt ∙ venerabilis ∙ p(ate)r ∙ (et)<appalpha id=""footnotes-appalpha-dio-di101-0170-a"">a)</appalpha> ∙ d(omi)n(u)s ∙ d(omi)n(u)s ∙ Symon / ∙ abbas ∙ Alderspachen(sis) ∙ xxi / qui ∙ an(n)is xvj hoc ∙ rexit ∙ cenobiu(m) ∙ c(uius) ∙ a(n)i(m)a ∙ q(ui)escat ∙ Jn ∙ pace ∙ Amen ∙</lno>
      </par>
    </sec>
  </sco>";Anno ∙ d(omi)ni ∙ M ccccc p(ri)mo jdus / vero septembris tercio ∙ obijt ∙ venerabilis ∙ p(ate)r ∙ (et)a) ∙ d(omi)n(u)s ∙ d(omi)n(u)s ∙ Symon / ∙ abbas ∙ Alderspachen(sis) ∙ xxi / qui ∙ an(n)is xvj hoc ∙ rexit ∙ cenobiu(m) ∙ c(uius) ∙ a(n)i(m)a ∙ q(ui)escat ∙ Jn ∙ pace ∙ Amen ∙
dio~di101-0171~1;"<sco>
    <sec>
      <par>
        <lno>Hye ∙ ligt ∙ begrabe(n) ∙ han(n)z ∙ Ecker ∙ de(r) ∙ gesta(r)be(n) ∙ ist ∙ am ∙ wei(h)nachtag<appalpha id=""footnotes-appalpha-dio-di101-0171-a"">a)</appalpha> ∙ / an(n)o ∙ 1 ∙ 503<appalpha id=""footnotes-appalpha-dio-di101-0171-b"">b)</appalpha> ∙ </lno>
      </par>
    </sec>
  </sco>";Hye ∙ ligt ∙ begrabe(n) ∙ han(n)z ∙ Ecker ∙ de(r) ∙ gesta(r)be(n) ∙ ist ∙ am ∙ wei(h)nachtaga) ∙ / an(n)o ∙ 1 ∙ 503b) ∙
dio~di101-0172~1;"<sco>
    <sec>
      <par>
        <lno>Hye ∙ ligt ∙ begraben ∙ der ∙ Edl / vnd ∙ vest ∙ Cristoff ∙ Graslreiter ∙ / der ∙ gestorben ∙ ist ∙ an ∙ der ∙ heiligen / dreykunig ∙ tag ∙ An(n)o<appalpha id=""footnotes-appalpha-dio-di101-0172-a"">a)</appalpha> ∙ M ∙ ccccc ∙ v ∙ iar<appalpha id=""footnotes-appalpha-dio-di101-0172-b"">b)</appalpha> // Vnd ∙ Magdalena ∙ Sunczingerin / sein ∙ hausfaw<appalpha id=""footnotes-appalpha-dio-di101-0172-c"">c)</appalpha> ∙ die ∙ ist · &lt;---&gt;</lno>
      </par>
    </sec>
  </sco>";Hye ∙ ligt ∙ begraben ∙ der ∙ Edl / vnd ∙ vest ∙ Cristoff ∙ Graslreiter ∙ / der ∙ gestorben ∙ ist ∙ an ∙ der ∙ heiligen / dreykunig ∙ tag ∙ An(n)oa) ∙ M ∙ ccccc ∙ v ∙ iarb) // Vnd ∙ Magdalena ∙ Sunczingerin / sein ∙ hausfawc) ∙ die ∙ ist · <--->
dio~di101-0173~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>M<appalpha id=""footnotes-appalpha-dio-di101-0173-o"">o</appalpha> CCCCC<appalpha id=""footnotes-appalpha-dio-di101-0173-o"">o</appalpha> // ∙ V<appalpha id=""footnotes-appalpha-dio-di101-0173-a"">a)</appalpha> ∙ IAR ∙</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>I ∙ N ∙ R ∙ I ∙</lno>
      </par>
    </sec>
  </sco>";I. Mo CCCCCo // ∙ Va) ∙ IAR ∙ II. I ∙ N ∙ R ∙ I ∙
dio~di101-0174~1;"<sco>
    <sec>
      <par>
        <lno>Maigister<appalpha id=""footnotes-appalpha-dio-di101-0174-a"">a)</appalpha> Andreas schachtne(r) / Ex Egkenfel<lig>de</lig>n Rector Ca<lig>pe</lig>lle hawspach Obyt An(n)o D(omi)ni ∙ M<appalpha id=""footnotes-appalpha-dio-di101-0174-o"">o</appalpha> ∙ CCCCC ∙ / &lt;---&gt; Die mensis &lt;---&gt;</lno>
      </par>
    </sec>
  </sco>";Maigistera) Andreas schachtne(r) / Ex Egkenfelden Rector Capelle hawspach Obyt An(n)o D(omi)ni ∙ Mo ∙ CCCCC ∙ / <---> Die mensis <--->
dio~di101-0175~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>+<appalpha id=""footnotes-appalpha-dio-di101-0175-a"">a)</appalpha> Anno ∙ domini ∙ Milesi(m)o ∙ / Quingentesimo ∙ Octauo ∙ Obijt ∙ Reuerendus ∙ in ∙ chr(ist)o<appalpha id=""footnotes-appalpha-dio-di101-0175-b"">b)</appalpha> / ∙ p(ate)r ∙ et ∙ d(omi)n(u)s ∙ d(omi)n(u)s ∙ Benedict(us) / ∙ Abbas ∙ huius ∙ Monastery ∙ s(e)c(un)d(u)s ∙ i(n)fulat(us) ∙ in ∙ die ∙ affre </lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>Miserere // Mei ∙ // deus<appalpha id=""footnotes-appalpha-dio-di101-0175-c"">c)</appalpha></lno>
      </par>
    </sec>
    <sec>
      <snr>III.</snr>
      <par>
        <lno>ve<appalpha id=""footnotes-appalpha-dio-di101-0175-d"">d)</appalpha></lno>
      </par>
    </sec>
  </sco>";I. +a) Anno ∙ domini ∙ Milesi(m)o ∙ / Quingentesimo ∙ Octauo ∙ Obijt ∙ Reuerendus ∙ in ∙ chr(ist)ob) / ∙ p(ate)r ∙ et ∙ d(omi)n(u)s ∙ d(omi)n(u)s ∙ Benedict(us) / ∙ Abbas ∙ huius ∙ Monastery ∙ s(e)c(un)d(u)s ∙ i(n)fulat(us) ∙ in ∙ die ∙ affre II. Miserere // Mei ∙ // deusc) III. ved)
dio~di101-0176~1;"<sco>
<sec>

<par>
<lno>[An(n)]o D(omi)ni ∙ 1510 ∙ D(omi)n(u)s Wolf/gangus früeauff <lig>de</lig> sc<lig>he</lig>rdi(n)g / olim hui(us) Ecclesie Vicarius / Obijt sexta feria Ante Oculi / hic sepult(us) Cui(us) Ani(m)a / in pace requiescat</lno>
</par>
</sec>
</sco>";[An(n)]o D(omi)ni ∙ 1510 ∙ D(omi)n(u)s Wolf/gangus früeauff de scherdi(n)g / olim hui(us) Ecclesie Vicarius / Obijt sexta feria Ante Oculi / hic sepult(us) Cui(us) Ani(m)a / in pace requiescat
dio~di101-0177~1;"<sco>
    <sec>
      <par>
        <lno>Revẹṛẹṇd(us) ∙ cubat ∙ hic ∙ Abbas ∙ Adam ∙</lno>
        <lin>h(uius)ce<appalpha id=""footnotes-appalpha-dio-di101-0177-a"">a)</appalpha> ∙ cenoby ∙ Marmore<appalpha id=""footnotes-appalpha-dio-di101-0177-b"">b)</appalpha> ∙ ho(c)<appalpha id=""footnotes-appalpha-dio-di101-0177-c"">c)</appalpha> ∙ c(er)ne<appalpha id=""footnotes-appalpha-dio-di101-0177-d"">d)</appalpha> / cauo ∙</lin>
        <lno>telluri ∙ corp(us) ∙ Et ∙ me(n)te(m) / r(e)ddid(i)t<appalpha id=""footnotes-appalpha-dio-di101-0177-e"">e)</appalpha> ∙ astris ∙</lno>
        <lin>cepit ∙ vtru(m)q(ue) ∙ sui ∙ q(ui)d ∙ q(ui)d ∙ h(abe)re<appalpha id=""footnotes-appalpha-dio-di101-0177-f"">f)</appalpha> ∙ ded(i)t<appalpha id=""footnotes-appalpha-dio-di101-0177-e"">e)</appalpha> ∙</lin>
        <lin>aspectu ∙ fruit(u)r<appalpha id=""footnotes-appalpha-dio-di101-0177-g"">g)</appalpha> ∙ nu(n)c ∙ s(i)n(e) fine / dei ∙</lin>
        <lno>obyt ∙ A(nn)o<appalpha id=""footnotes-appalpha-dio-di101-0177-c"">c)</appalpha> ∙ d(omi)ni ∙ 1 ∙ 5 ∙ 11<appalpha id=""footnotes-appalpha-dio-di101-0177-h"">h)</appalpha></lno>
      </par>
    </sec>
  </sco>";Revẹṛẹṇd(us) ∙ cubat ∙ hic ∙ Abbas ∙ Adam ∙ h(uius)cea) ∙ cenoby ∙ Marmoreb) ∙ ho(c)c) ∙ c(er)ned) / cauo ∙ telluri ∙ corp(us) ∙ Et ∙ me(n)te(m) / r(e)ddid(i)te) ∙ astris ∙ cepit ∙ vtru(m)q(ue) ∙ sui ∙ q(ui)d ∙ q(ui)d ∙ h(abe)ref) ∙ ded(i)te) ∙ aspectu ∙ fruit(u)rg) ∙ nu(n)c ∙ s(i)n(e) fine / dei ∙ obyt ∙ A(nn)oc) ∙ d(omi)ni ∙ 1 ∙ 5 ∙ 11h)
